race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.2211 (0.2015-0.2385),0.7789 (0.7615-0.7985),0.3982 (0.382-0.4113)
OVAP,0.5362 (0.2427-0.8386),0.4638 (0.1614-0.7573),0.1643 (0.0799-0.2679)
