race,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,BMAY21PTurnout
WVAP,0.3019 (0.284-0.3203),0.1957 (0.1774-0.2146),0.0718 (0.0576-0.0872),0.4305 (0.4081-0.453),0.2609 (0.2504-0.2713)
BVAP,0.0453 (0.0292-0.0632),0.2725 (0.2431-0.3031),0.5525 (0.5185-0.587),0.1297 (0.0991-0.1607),0.2359 (0.2218-0.2504)
HVAP,0.1026 (0.0453-0.1806),0.1414 (0.056-0.2475),0.2971 (0.1802-0.4198),0.4588 (0.3167-0.5919),0.0966 (0.0735-0.1218)
OVAP,0.1993 (0.0917-0.3563),0.281 (0.1246-0.473),0.196 (0.088-0.3363),0.3238 (0.1546-0.5207),0.049 (0.0315-0.0716)
