race,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,BMAY21PTurnout
WVAP,0.3293 (0.3071-0.3516),0.1773 (0.1563-0.1989),0.0443 (0.0313-0.0599),0.4491 (0.4234-0.4746),0.2444 (0.2331-0.2556)
OVAP,0.0656 (0.0484-0.0845),0.2657 (0.2394-0.2927),0.4502 (0.4236-0.4768),0.2185 (0.1891-0.2487),0.1565 (0.1479-0.1653)
