race,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,BMAY21PTurnout
WVAP,0.3034 (0.285-0.3222),0.1953 (0.1768-0.2144),0.0717 (0.0571-0.0871),0.4295 (0.4056-0.4532),0.258 (0.247-0.2688)
BVAP,0.0424 (0.0259-0.0599),0.2707 (0.2406-0.3016),0.5579 (0.5225-0.5941),0.1289 (0.0959-0.1618),0.2325 (0.2175-0.2478)
HVAP,0.1001 (0.0457-0.1785),0.1463 (0.0639-0.2502),0.2915 (0.1773-0.4205),0.462 (0.3091-0.6004),0.094 (0.0695-0.12)
ASIANVAP,0.1736 (0.0777-0.3034),0.2529 (0.111-0.4355),0.1959 (0.0924-0.3449),0.3775 (0.1753-0.5876),0.0616 (0.0374-0.0924)
OVAP,0.2483 (0.1037-0.433),0.3029 (0.1391-0.5012),0.1699 (0.0669-0.3369),0.2789 (0.1108-0.4886),0.0802 (0.0484-0.1178)
