,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
0,Somerset,404,Somerset Precinct 02-001,324,25,110,80,404,1.0,0.801980198019802,0.19801980198019803,269,0.06188118811881188,0.2722772277227723,0.6658415841584159
1,Somerset,726,Somerset Precinct 05-001,591,92,260,135,726,1.0,0.8140495867768595,0.1859504132231405,374,0.12672176308539945,0.3581267217630854,0.5151515151515151
2,Somerset,1165,Somerset Precinct 03-001,861,154,386,304,1165,1.0,0.7390557939914163,0.2609442060085837,625,0.13218884120171673,0.3313304721030043,0.5364806866952789
3,Somerset,217,Somerset Precinct 13-003,159,31,58,58,217,1.0,0.7327188940092166,0.2672811059907834,128,0.14285714285714285,0.2672811059907834,0.5898617511520737
4,Somerset,3664,Somerset Precinct 13-002,1072,48,83,2592,3664,1.0,0.2925764192139738,0.7074235807860262,3533,0.013100436681222707,0.0226528384279476,0.9642467248908297
5,Somerset,151,Somerset Precinct 13-001,122,13,54,29,151,1.0,0.8079470198675497,0.19205298013245034,84,0.08609271523178808,0.3576158940397351,0.5562913907284768
6,Somerset,2355,Somerset Precinct 01-002,1257,329,265,1098,2355,1.0,0.5337579617834395,0.4662420382165605,1761,0.1397027600849257,0.11252653927813164,0.7477707006369426
7,Somerset,186,Somerset Precinct 01-003,56,100,30,130,186,1.0,0.3010752688172043,0.6989247311827957,56,0.5376344086021505,0.16129032258064516,0.3010752688172043
8,Somerset,1267,Somerset Precinct 15-002,234,260,72,1033,1267,1.0,0.18468823993685873,0.8153117600631413,935,0.2052091554853986,0.056827150749802685,0.7379636937647988
9,Somerset,1039,Somerset Precinct 01-001,633,111,145,406,1039,1.0,0.6092396535129933,0.39076034648700675,783,0.1068334937439846,0.1395572666025024,0.753609239653513
10,Somerset,3771,Somerset Precinct 15-001,692,160,126,3079,3771,1.0,0.18350570140546274,0.8164942985945373,3485,0.042429063908777515,0.03341288782816229,0.9241580482630602
11,Worcester,2315,Worcester Precinct 01-001,1155,972,1245,1160,2315,1.0,0.49892008639308855,0.5010799136069114,98,0.4198704103671706,0.5377969762419006,0.042332613390928725
12,Somerset,919,Somerset Precinct 04-001,711,94,253,208,919,1.0,0.7736670293797606,0.22633297062023938,572,0.10228509249183895,0.27529923830250275,0.6224156692056583
13,Dorchester,70,Dorchester Precinct 18-001,65,7,18,5,70,1.0,0.9285714285714286,0.07142857142857142,45,0.1,0.2571428571428571,0.6428571428571429
14,Dorchester,49,Dorchester Precinct 11-001,44,5,24,5,49,1.0,0.8979591836734694,0.10204081632653061,20,0.10204081632653061,0.4897959183673469,0.40816326530612246
15,Dorchester,145,Dorchester Precinct 13-002,79,44,32,66,145,1.0,0.5448275862068965,0.45517241379310347,69,0.30344827586206896,0.2206896551724138,0.47586206896551725
16,Dorchester,206,Dorchester Precinct 17-001,169,29,78,37,206,1.0,0.8203883495145631,0.1796116504854369,99,0.1407766990291262,0.3786407766990291,0.48058252427184467
17,Dorchester,63,Dorchester Precinct 14-002,39,11,23,24,63,1.0,0.6190476190476191,0.38095238095238093,29,0.1746031746031746,0.36507936507936506,0.4603174603174603
18,Wicomico,1349,Wicomico Precinct 17-001,1025,303,415,324,1349,1.0,0.759822090437361,0.24017790956263899,631,0.2246108228317272,0.3076352853965901,0.46775389177168275
19,Dorchester,308,Dorchester Precinct 03-001,274,48,113,34,308,1.0,0.8896103896103896,0.11038961038961038,147,0.15584415584415584,0.36688311688311687,0.4772727272727273
20,Cecil,4593,Cecil Precinct 05-003,4361,528,1542,232,4593,1.0,0.9494883518397561,0.05051164816024385,2523,0.11495754408883083,0.3357282821685173,0.5493141737426519
21,Kent,1682,Kent Precinct 01-002,1494,275,522,188,1682,1.0,0.8882282996432818,0.1117717003567182,885,0.1634958382877527,0.3103448275862069,0.5261593341260404
22,Cecil,2280,Cecil Precinct 02-001,2088,295,686,192,2280,1.0,0.9157894736842105,0.08421052631578947,1299,0.12938596491228072,0.30087719298245613,0.5697368421052632
23,Cecil,2076,Cecil Precinct 02-002,1934,272,572,142,2076,1.0,0.9315992292870906,0.06840077071290944,1232,0.13102119460500963,0.27552986512524086,0.5934489402697495
24,Cecil,4897,Cecil Precinct 05-002,4539,752,2155,358,4897,1.0,0.9268940167449459,0.07310598325505412,1990,0.15356340616704103,0.44006534613028386,0.40637124770267513
25,Cecil,3665,Cecil Precinct 09-001,3546,332,1346,119,3665,1.0,0.9675306957708049,0.03246930422919509,1987,0.09058663028649386,0.36725784447476123,0.5421555252387449
26,Cecil,2554,Cecil Precinct 05-004,2220,299,461,334,2554,1.0,0.8692247454972593,0.1307752545027408,1794,0.11707126076742365,0.18050117462803444,0.7024275646045419
27,Cecil,4984,Cecil Precinct 05-001,4641,336,875,343,4984,1.0,0.9311797752808989,0.06882022471910113,3773,0.06741573033707865,0.175561797752809,0.7570224719101124
28,Cecil,7016,Cecil Precinct 03-002,6111,791,1526,905,7016,1.0,0.8710091220068416,0.1289908779931585,4699,0.11274230330672748,0.21750285062713798,0.6697548460661346
29,Cecil,6045,Cecil Precinct 03-003,4995,525,931,1050,6045,1.0,0.826302729528536,0.17369727047146402,4589,0.08684863523573201,0.15401157981803143,0.7591397849462366
30,Cecil,4668,Cecil Precinct 04-001,4445,657,1168,223,4668,1.0,0.9522279348757497,0.04777206512425022,2843,0.14074550128534705,0.25021422450728364,0.6090402742073693
