,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
26,Cecil,2554,Cecil Precinct 05-004,2220,192,64,38,25,26,78,2554,1,0.8692247454972593,0.07517619420516837,0.025058731401722788,0.030540328895849646,2465,0.014878621769772905,0.009788566953797965,0.010180109631949883,0.9651527016444792
27,Cecil,4984,Cecil Precinct 05-001,4641,146,92,40,48,26,105,4984,1,0.9311797752808989,0.029293739967897272,0.018459069020866775,0.021067415730337078,4870,0.008025682182985553,0.009630818619582664,0.00521669341894061,0.9771268057784912
28,Cecil,7016,Cecil Precinct 03-002,6111,537,214,23,21,10,154,7016,1,0.8710091220068416,0.07653933865450399,0.03050171037628278,0.02194982896237172,6962,0.0032782212086659066,0.0029931584948688712,0.0014253135689851768,0.99230330672748
29,Cecil,6045,Cecil Precinct 03-003,4995,536,290,66,36,30,224,6045,1,0.826302729528536,0.08866832092638545,0.04797353184449959,0.03705541770057899,5913,0.010918114143920596,0.005955334987593052,0.004962779156327543,0.9781637717121588
30,Cecil,4668,Cecil Precinct 04-001,4445,68,88,70,62,48,67,4668,1,0.9522279348757497,0.01456726649528706,0.018851756640959727,0.014353041988003428,4488,0.014995715509854327,0.013281919451585262,0.010282776349614395,0.961439588688946
31,Cecil,6876,Cecil Precinct 03-001,5322,838,356,67,56,37,360,6876,1,0.7739965095986039,0.12187318208260617,0.051774287376381616,0.05235602094240838,6716,0.009744037230948226,0.008144269924374637,0.005381035485747527,0.9767306573589296
32,Cecil,1863,Cecil Precinct 04-002,1152,471,127,33,9,22,113,1863,1,0.6183574879227053,0.2528180354267311,0.06816961889425657,0.06065485775630703,1799,0.017713365539452495,0.004830917874396135,0.011808910359634998,0.9656468062265163
33,Worcester,596,Worcester Precinct 04-001,490,76,11,60,57,26,19,596,1,0.8221476510067114,0.12751677852348994,0.018456375838926176,0.031879194630872486,453,0.10067114093959731,0.09563758389261745,0.0436241610738255,0.7600671140939598
34,Worcester,2209,Worcester Precinct 02-001,1098,1014,56,33,4,0,41,2209,1,0.49705749207786326,0.4590312358533273,0.025350837483023993,0.018560434585785424,2172,0.014938886373924853,0.0018107741059302852,0.0,0.9832503395201448
35,Worcester,2685,Worcester Precinct 04-002,2330,275,30,11,19,5,50,2685,1,0.8677839851024208,0.10242085661080075,0.0111731843575419,0.0186219739292365,2650,0.00409683426443203,0.00707635009310987,0.00186219739292365,0.9869646182495344
36,Worcester,714,Worcester Precinct 02-002,560,137,8,66,18,5,9,714,1,0.7843137254901961,0.19187675070028012,0.011204481792717087,0.012605042016806723,625,0.09243697478991597,0.025210084033613446,0.0070028011204481795,0.8753501400560224
37,Wicomico,2459,Wicomico Precinct 15-001,1971,406,34,38,20,1,48,2459,1,0.8015453436356242,0.1651077673851159,0.013826758845058967,0.019520130134200894,2400,0.015453436356242375,0.008133387555917039,0.00040666937779585197,0.9760065067100447
38,Wicomico,2235,Wicomico Precinct 16-002,1532,543,43,6,7,2,117,2235,1,0.6854586129753915,0.24295302013422818,0.01923937360178971,0.052348993288590606,2220,0.0026845637583892616,0.003131991051454139,0.0008948545861297539,0.9932885906040269
