,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
22,Cecil,2280,Cecil Precinct 02-001,2088,46,119,108,3,27,2280,1,0.9157894736842105,0.02017543859649123,0.052192982456140354,0.011842105263157895,2169,0.04736842105263158,0.0013157894736842105,0.9513157894736842
23,Cecil,2076,Cecil Precinct 02-002,1934,67,38,82,3,37,2076,1,0.9315992292870906,0.03227360308285164,0.018304431599229287,0.017822736030828516,1991,0.0394990366088632,0.001445086705202312,0.9590558766859345
24,Cecil,4897,Cecil Precinct 05-002,4539,148,101,150,5,109,4897,1,0.9268940167449459,0.030222585256279355,0.02062487237083929,0.022258525627935472,4742,0.0306309985705534,0.0010210332856851133,0.9683479681437615
25,Cecil,3665,Cecil Precinct 09-001,3546,38,37,123,3,44,3665,1,0.9675306957708049,0.010368349249658937,0.010095497953615279,0.012005457025920874,3539,0.033560709413369715,0.0008185538881309686,0.9656207366984993
26,Cecil,2554,Cecil Precinct 05-004,2220,192,64,83,0,78,2554,1,0.8692247454972593,0.07517619420516837,0.025058731401722788,0.030540328895849646,2471,0.03249804228660924,0.0,0.9675019577133908
27,Cecil,4984,Cecil Precinct 05-001,4641,146,92,125,4,105,4984,1,0.9311797752808989,0.029293739967897272,0.018459069020866775,0.021067415730337078,4855,0.025080256821829856,0.0008025682182985554,0.9741171749598716
28,Cecil,7016,Cecil Precinct 03-002,6111,537,214,201,18,154,7016,1,0.8710091220068416,0.07653933865450399,0.03050171037628278,0.02194982896237172,6797,0.02864880273660205,0.002565564424173318,0.9687856328392246
29,Cecil,6045,Cecil Precinct 03-003,4995,536,290,106,4,224,6045,1,0.826302729528536,0.08866832092638545,0.04797353184449959,0.03705541770057899,5935,0.01753515301902399,0.0006617038875103391,0.9818031430934657
30,Cecil,4668,Cecil Precinct 04-001,4445,68,88,183,3,67,4668,1,0.9522279348757497,0.01456726649528706,0.018851756640959727,0.014353041988003428,4482,0.03920308483290488,0.0006426735218508997,0.9601542416452442
31,Cecil,6876,Cecil Precinct 03-001,5322,838,356,166,16,360,6876,1,0.7739965095986039,0.12187318208260617,0.051774287376381616,0.05235602094240838,6694,0.024141942990110528,0.002326934264107039,0.9735311227457825
32,Cecil,1863,Cecil Precinct 04-002,1152,471,127,31,2,113,1863,1,0.6183574879227053,0.2528180354267311,0.06816961889425657,0.06065485775630703,1830,0.016639828234031134,0.0010735373054213634,0.9822866344605475
33,Worcester,596,Worcester Precinct 04-001,490,76,11,20,2,19,596,1,0.8221476510067114,0.12751677852348994,0.018456375838926176,0.031879194630872486,574,0.03355704697986577,0.003355704697986577,0.9630872483221476
34,Worcester,2209,Worcester Precinct 02-001,1098,1014,56,75,7,41,2209,1,0.49705749207786326,0.4590312358533273,0.025350837483023993,0.018560434585785424,2127,0.033952014486192846,0.003168854685377999,0.9628791308284291
35,Worcester,2685,Worcester Precinct 04-002,2330,275,30,84,4,50,2685,1,0.8677839851024208,0.10242085661080075,0.0111731843575419,0.0186219739292365,2597,0.03128491620111732,0.0014897579143389199,0.9672253258845438
36,Worcester,714,Worcester Precinct 02-002,560,137,8,26,2,9,714,1,0.7843137254901961,0.19187675070028012,0.011204481792717087,0.012605042016806723,686,0.036414565826330535,0.0028011204481792717,0.9607843137254902
37,Wicomico,2459,Wicomico Precinct 15-001,1971,406,34,63,5,48,2459,1,0.8015453436356242,0.1651077673851159,0.013826758845058967,0.019520130134200894,2391,0.025620170801138674,0.0020333468889792597,0.9723464823098821
38,Wicomico,2235,Wicomico Precinct 16-002,1532,543,43,58,1,117,2235,1,0.6854586129753915,0.24295302013422818,0.01923937360178971,0.052348993288590606,2176,0.025950782997762864,0.00044742729306487697,0.9736017897091722
39,Wicomico,2655,Wicomico Precinct 08-004,2377,139,43,79,2,96,2655,1,0.8952919020715631,0.052354048964218455,0.016195856873822974,0.03615819209039548,2574,0.02975517890772128,0.0007532956685499058,0.9694915254237289
40,Wicomico,1417,Wicomico Precinct 08-003,1099,175,36,35,4,107,1417,1,0.7755822159491884,0.12350035285815103,0.025405786873676783,0.07551164431898377,1378,0.024700070571630206,0.0028228652081863093,0.9724770642201835
41,Wicomico,3627,Wicomico Precinct 13-003,2905,448,121,50,1,153,3627,1,0.8009374138406397,0.12351805900192997,0.03336090432864627,0.04218362282878412,3576,0.013785497656465398,0.00027570995312930797,0.9859387923904053
42,Wicomico,5667,Wicomico Precinct 13-001,4424,774,267,131,2,202,5667,1,0.7806599611787541,0.13658020116463737,0.047114875595553204,0.03564496206105523,5534,0.023116287277218987,0.0003529204164460914,0.9765307923063349
43,Wicomico,250,Wicomico Precinct 09-004,167,58,10,11,0,15,250,1,0.668,0.232,0.04,0.06,239,0.044,0.0,0.956
44,Wicomico,3486,Wicomico Precinct 09-002,433,2849,153,195,6,51,3486,1,0.12421113023522662,0.8172690763052208,0.04388984509466437,0.014629948364888123,3285,0.05593803786574871,0.0017211703958691911,0.9423407917383821
