,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
28,Cecil,7016,Cecil Precinct 03-002,6111,537,214,930,1012,154,7016,1.0,0.8710091220068416,0.07653933865450399,0.03050171037628278,0.02194982896237172,5074,0.13255416191562144,0.14424173318129987,0.7232041049030786
29,Cecil,6045,Cecil Precinct 03-003,4995,536,290,568,542,224,6045,1.0,0.826302729528536,0.08866832092638545,0.04797353184449959,0.03705541770057899,4935,0.09396195202646816,0.08966087675765096,0.8163771712158809
30,Cecil,4668,Cecil Precinct 04-001,4445,68,88,813,838,67,4668,1.0,0.9522279348757497,0.01456726649528706,0.018851756640959727,0.014353041988003428,3017,0.17416452442159383,0.17952013710368467,0.6463153384747216
31,Cecil,6876,Cecil Precinct 03-001,5322,838,356,942,633,360,6876,1.0,0.7739965095986039,0.12187318208260617,0.051774287376381616,0.05235602094240838,5301,0.13699825479930192,0.09205933682373472,0.7709424083769634
32,Cecil,1863,Cecil Precinct 04-002,1152,471,127,458,267,113,1863,1.0,0.6183574879227053,0.2528180354267311,0.06816961889425657,0.06065485775630703,1138,0.24584004294149223,0.143317230273752,0.6108427267847558
33,Worcester,1087,Worcester Precinct 04-001,892,139,21,521,563,35,1087,1.8187919463087248,0.8206071757129715,0.12787488500459981,0.019319227230910764,0.03219871205151794,3,0.47930082796688134,0.5179392824287029,0.0027598896044158236
34,Worcester,2209,Worcester Precinct 02-001,1098,1014,56,149,75,41,2209,1.0,0.49705749207786326,0.4590312358533273,0.025350837483023993,0.018560434585785424,1985,0.06745133544590312,0.033952014486192846,0.898596650067904
35,Worcester,2685,Worcester Precinct 04-002,2330,275,30,156,145,50,2685,1.0,0.8677839851024208,0.10242085661080075,0.0111731843575419,0.0186219739292365,2384,0.05810055865921788,0.054003724394785846,0.8878957169459962
36,Worcester,1046,Worcester Precinct 02-002,819,201,12,754,289,14,1046,1.4607843137254901,0.7829827915869981,0.1921606118546845,0.011472275334608031,0.01338432122370937,3,0.7208413001912046,0.2762906309751434,0.0028680688336520078
37,Wicomico,2459,Wicomico Precinct 15-001,1971,406,34,402,501,48,2459,1.0,0.8015453436356242,0.1651077673851159,0.013826758845058967,0.019520130134200894,1556,0.1634810898739325,0.20374135827572185,0.6327775518503457
38,Wicomico,2235,Wicomico Precinct 16-002,1532,543,43,477,331,117,2235,1.0,0.6854586129753915,0.24295302013422818,0.01923937360178971,0.052348993288590606,1427,0.2134228187919463,0.14809843400447428,0.6384787472035794
39,Wicomico,2655,Wicomico Precinct 08-004,2377,139,43,400,304,96,2655,1.0,0.8952919020715631,0.052354048964218455,0.016195856873822974,0.03615819209039548,1951,0.15065913370998116,0.11450094161958568,0.7348399246704331
