,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
0,Somerset,404,Somerset Precinct 02-001,324,22,10,1,80,404,1,0.801980198019802,0.19801980198019803,371,0.054455445544554455,0.024752475247524754,0.0024752475247524753,0.9183168316831684
1,Somerset,726,Somerset Precinct 05-001,591,25,25,9,135,726,1,0.8140495867768595,0.1859504132231405,667,0.03443526170798898,0.03443526170798898,0.012396694214876033,0.918732782369146
2,Somerset,1165,Somerset Precinct 03-001,861,21,15,4,304,1165,1,0.7390557939914163,0.2609442060085837,1125,0.018025751072961373,0.012875536480686695,0.0034334763948497852,0.9656652360515021
3,Somerset,217,Somerset Precinct 13-003,159,3,2,0,58,217,1,0.7327188940092166,0.2672811059907834,212,0.013824884792626729,0.009216589861751152,0.0,0.9769585253456221
4,Somerset,3664,Somerset Precinct 13-002,1072,11,2,0,2592,3664,1,0.2925764192139738,0.7074235807860262,3651,0.003002183406113537,0.0005458515283842794,0.0,0.9964519650655022
5,Somerset,151,Somerset Precinct 13-001,122,1,0,0,29,151,1,0.8079470198675497,0.19205298013245034,150,0.006622516556291391,0.0,0.0,0.9933774834437086
6,Somerset,2355,Somerset Precinct 01-002,1257,90,17,3,1098,2355,1,0.5337579617834395,0.4662420382165605,2245,0.03821656050955414,0.007218683651804671,0.0012738853503184713,0.9532908704883227
7,Somerset,186,Somerset Precinct 01-003,56,6,3,3,130,186,1,0.3010752688172043,0.6989247311827957,174,0.03225806451612903,0.016129032258064516,0.016129032258064516,0.9354838709677419
8,Somerset,1267,Somerset Precinct 15-002,234,38,8,3,1033,1267,1,0.18468823993685873,0.8153117600631413,1218,0.02999210734017364,0.006314127861089187,0.0023677979479084454,0.9613259668508287
9,Somerset,1039,Somerset Precinct 01-001,633,36,7,1,406,1039,1,0.6092396535129933,0.39076034648700675,995,0.03464870067372473,0.006737247353224254,0.0009624639076034649,0.9576515880654476
10,Somerset,3771,Somerset Precinct 15-001,692,26,3,1,3079,3771,1,0.18350570140546274,0.8164942985945373,3741,0.006894722885176346,0.0007955449482895784,0.00026518164942985947,0.9920445505171042
11,Worcester,2315,Worcester Precinct 01-001,1155,148,39,9,1160,2315,1,0.49892008639308855,0.5010799136069114,2119,0.06393088552915767,0.016846652267818573,0.0038876889848812094,0.9153347732181425
12,Somerset,919,Somerset Precinct 04-001,711,14,10,4,208,919,1,0.7736670293797606,0.22633297062023938,891,0.015233949945593036,0.01088139281828074,0.004352557127312296,0.969532100108814
13,Dorchester,70,Dorchester Precinct 18-001,65,1,4,0,5,70,1,0.9285714285714286,0.07142857142857142,65,0.014285714285714285,0.05714285714285714,0.0,0.9285714285714286
14,Dorchester,49,Dorchester Precinct 11-001,44,4,2,3,5,49,1,0.8979591836734694,0.10204081632653061,40,0.08163265306122448,0.04081632653061224,0.061224489795918366,0.8163265306122449
15,Dorchester,145,Dorchester Precinct 13-002,79,11,3,0,66,145,1,0.5448275862068965,0.45517241379310347,131,0.07586206896551724,0.020689655172413793,0.0,0.903448275862069
16,Dorchester,206,Dorchester Precinct 17-001,169,12,5,0,37,206,1,0.8203883495145631,0.1796116504854369,189,0.05825242718446602,0.024271844660194174,0.0,0.9174757281553398
17,Dorchester,63,Dorchester Precinct 14-002,39,5,2,0,24,63,1,0.6190476190476191,0.38095238095238093,56,0.07936507936507936,0.031746031746031744,0.0,0.8888888888888888
18,Wicomico,1349,Wicomico Precinct 17-001,1025,49,23,12,324,1349,1,0.759822090437361,0.24017790956263899,1265,0.0363232023721275,0.01704966641957005,0.008895478131949592,0.9377316530763529
19,Dorchester,308,Dorchester Precinct 03-001,274,10,8,7,34,308,1,0.8896103896103896,0.11038961038961038,283,0.032467532467532464,0.025974025974025976,0.022727272727272728,0.9188311688311688
20,Cecil,4593,Cecil Precinct 05-003,4361,54,76,59,232,4593,1,0.9494883518397561,0.05051164816024385,4404,0.011757021554539516,0.016546919224907468,0.012845634661441323,0.9588504245591117
21,Kent,1682,Kent Precinct 01-002,1494,23,29,55,188,1682,1,0.8882282996432818,0.1117717003567182,1575,0.013674197384066587,0.017241379310344827,0.032699167657550536,0.9363852556480381
22,Cecil,2280,Cecil Precinct 02-001,2088,35,37,38,192,2280,1,0.9157894736842105,0.08421052631578947,2170,0.015350877192982455,0.016228070175438595,0.016666666666666666,0.9517543859649122
23,Cecil,2076,Cecil Precinct 02-002,1934,31,35,25,142,2076,1,0.9315992292870906,0.06840077071290944,1985,0.014932562620423893,0.016859344894026976,0.012042389210019268,0.9561657032755299
24,Cecil,4897,Cecil Precinct 05-002,4539,28,33,45,358,4897,1,0.9268940167449459,0.07310598325505412,4791,0.005717786399836635,0.006738819685521748,0.00918929957116602,0.9783540943434756
25,Cecil,3665,Cecil Precinct 09-001,3546,24,41,30,119,3665,1,0.9675306957708049,0.03246930422919509,3570,0.006548431105047749,0.011186903137789904,0.008185538881309686,0.9740791268758526
26,Cecil,2554,Cecil Precinct 05-004,2220,38,25,26,334,2554,1,0.8692247454972593,0.1307752545027408,2465,0.014878621769772905,0.009788566953797965,0.010180109631949883,0.9651527016444792
27,Cecil,4984,Cecil Precinct 05-001,4641,40,48,26,343,4984,1,0.9311797752808989,0.06882022471910113,4870,0.008025682182985553,0.009630818619582664,0.00521669341894061,0.9771268057784912
