race,AG14D,AG14R,AG14None
WVAP,0.0826 (0.0748-0.0901),0.1899 (0.1798-0.1983),0.7274 (0.7161-0.7403)
OVAP,0.0754 (0.0199-0.146),0.0665 (0.0175-0.1346),0.858 (0.7682-0.9341)
