race,SEN12D,SEN12R,SEN12None
WVAP,0.1287 (0.1191-0.1366),0.2188 (0.207-0.2276),0.6525 (0.6406-0.6671)
OVAP,0.0895 (0.035-0.1656),0.0711 (0.0178-0.146),0.8394 (0.7396-0.918)
