race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.015 (0.0125-0.0174),0.0031 (0.002-0.0041),0.0048 (0.0031-0.0063),0.0012 (0.0005-0.0021),0.0041 (0.0027-0.0056),0.9717 (0.9682-0.9755)
OVAP,0.0311 (0.0096-0.0592),0.0211 (0.0073-0.0398),0.0276 (0.009-0.0538),0.02 (0.0077-0.0331),0.0274 (0.0094-0.0495),0.8728 (0.8195-0.9186)
