race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0401 (0.0353-0.0444),0.0196 (0.016-0.0227),0.9403 (0.9347-0.9463)
OVAP,0.0558 (0.0194-0.1103),0.048 (0.0167-0.0925),0.8962 (0.8261-0.9502)
