race,COMP14D,COMP14R,COMP14None
WVAP,0.1262 (0.1174-0.1348),0.1561 (0.1469-0.1646),0.7177 (0.7059-0.7299)
BVAP,0.0663 (0.017-0.1362),0.0681 (0.0208-0.1394),0.8656 (0.7708-0.9432)
HVAP,0.2441 (0.0884-0.4575),0.2635 (0.0919-0.4897),0.4923 (0.2477-0.7135)
OVAP,0.375 (0.1503-0.6545),0.2541 (0.0837-0.4739),0.3709 (0.1036-0.6568)
