race,PRES12D,PRES12R,PRES12None
WVAP,0.1342 (0.1238-0.1431),0.2913 (0.2778-0.3013),0.5745 (0.5603-0.592)
OVAP,0.0894 (0.0276-0.1712),0.0708 (0.0126-0.156),0.8398 (0.7248-0.9333)
