race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0142 (0.0114-0.0166),0.003 (0.0017-0.0042),0.0186 (0.0154-0.0214),0.9642 (0.9602-0.9688)
OVAP,0.0364 (0.0119-0.0726),0.0279 (0.0101-0.0535),0.0371 (0.0101-0.0742),0.8986 (0.8375-0.9437)
