race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0113 (0.009-0.0138),0.0019 (0.001-0.0029),0.0031 (0.0019-0.0045),0.0007 (0.0003-0.0013),0.0022 (0.0011-0.0036),0.9807 (0.9777-0.9835)
BVAP,0.0212 (0.0055-0.0484),0.0127 (0.0033-0.0288),0.0161 (0.0038-0.037),0.0106 (0.0028-0.0238),0.0164 (0.0051-0.0341),0.9229 (0.876-0.9559)
HVAP,0.0739 (0.0211-0.1571),0.0441 (0.0117-0.0959),0.0642 (0.0147-0.1337),0.0397 (0.0113-0.0853),0.053 (0.0147-0.1154),0.725 (0.5828-0.834)
OVAP,0.2227 (0.1076-0.3449),0.0929 (0.0389-0.1516),0.1252 (0.0599-0.199),0.0584 (0.0255-0.0939),0.1432 (0.0712-0.2153),0.3575 (0.2377-0.4917)
