race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0128 (0.0099-0.0154),0.0122 (0.0101-0.0142),0.0097 (0.0071-0.0121),0.9654 (0.9611-0.9701)
OVAP,0.0385 (0.0114-0.0772),0.0273 (0.0073-0.0554),0.0397 (0.0114-0.0798),0.8945 (0.8247-0.9449)
