race,AG18D,AG18R,AG18None
WVAP,0.0848 (0.0758-0.0922),0.2318 (0.2196-0.2413),0.6834 (0.6708-0.6987)
OVAP,0.0787 (0.0241-0.1556),0.074 (0.0188-0.1498),0.8474 (0.7446-0.9299)
