race,PRES16D,PRES16R,PRES16None
WVAP,0.0881 (0.0791-0.096),0.3101 (0.2959-0.3205),0.6018 (0.5887-0.618)
OVAP,0.0872 (0.0315-0.1635),0.0771 (0.0195-0.1595),0.8357 (0.7321-0.9201)
