race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0346 (0.03-0.0391),0.0154 (0.0124-0.0187),0.95 (0.9448-0.955)
BVAP,0.0406 (0.0105-0.0877),0.0304 (0.0076-0.0688),0.929 (0.8698-0.9716)
HVAP,0.1525 (0.0514-0.3043),0.1274 (0.0422-0.2546),0.7201 (0.5325-0.8683)
OVAP,0.3158 (0.1243-0.5262),0.2663 (0.1007-0.4255),0.4179 (0.2026-0.6506)
