race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0092 (0.0067-0.0118),0.0106 (0.0087-0.0124),0.0059 (0.0041-0.0081),0.9743 (0.9706-0.9776)
BVAP,0.0236 (0.0058-0.0529),0.0231 (0.0064-0.0506),0.0209 (0.0055-0.048),0.9324 (0.879-0.9674)
HVAP,0.0949 (0.0268-0.2033),0.0819 (0.0251-0.1682),0.0868 (0.0208-0.1887),0.7364 (0.5785-0.8612)
OVAP,0.2267 (0.1039-0.3582),0.0892 (0.0259-0.1713),0.2596 (0.1438-0.3739),0.4245 (0.2768-0.6027)
