race,AG14D,AG14R,AG14None
WVAP,0.0746 (0.0669-0.082),0.1813 (0.1711-0.1903),0.7441 (0.733-0.7559)
BVAP,0.0658 (0.0204-0.1281),0.0712 (0.0217-0.1453),0.863 (0.7666-0.9347)
HVAP,0.2042 (0.0556-0.4117),0.2935 (0.0876-0.5557),0.5024 (0.2225-0.7373)
OVAP,0.3979 (0.154-0.683),0.2472 (0.0701-0.4715),0.3549 (0.1097-0.6505)
