race,SEN18D,SEN18R,SEN18None
WVAP,0.0962 (0.0875-0.1041),0.1943 (0.1827-0.2039),0.7095 (0.6969-0.7232)
BVAP,0.0764 (0.0262-0.1481),0.0745 (0.0184-0.1546),0.849 (0.7478-0.9287)
HVAP,0.2151 (0.0772-0.3955),0.2874 (0.0786-0.5277),0.4975 (0.2446-0.7622)
OVAP,0.3858 (0.143-0.6438),0.2463 (0.0894-0.4824),0.3679 (0.1485-0.6339)
