race,SEN16D,SEN16R,SEN16None
WVAP,0.1196 (0.1095-0.1277),0.261 (0.2476-0.2704),0.6195 (0.6065-0.636)
OVAP,0.0838 (0.0291-0.1585),0.0737 (0.0196-0.1568),0.8425 (0.7338-0.9248)
