race,COMP18D,COMP18R,COMP18None
WVAP,0.137 (0.1279-0.1458),0.1539 (0.144-0.1628),0.709 (0.6965-0.7211)
BVAP,0.0856 (0.0282-0.1591),0.068 (0.0188-0.1378),0.8463 (0.7516-0.9257)
HVAP,0.2227 (0.0711-0.4229),0.2755 (0.0695-0.5158),0.5018 (0.2495-0.742)
OVAP,0.3895 (0.1551-0.6683),0.2393 (0.0695-0.4831),0.3712 (0.1335-0.6283)
