race,COMP18D,COMP18R,COMP18None
WVAP,0.1471 (0.136-0.1557),0.162 (0.151-0.1699),0.691 (0.6785-0.7061)
OVAP,0.0783 (0.022-0.1589),0.0652 (0.0192-0.1365),0.8565 (0.7567-0.9349)
