race,GOV18D,GOV18R,GOV18None
WVAP,0.0413 (0.0349-0.0469),0.2801 (0.2686-0.2888),0.6786 (0.6678-0.6909)
OVAP,0.0763 (0.0295-0.1411),0.0719 (0.0222-0.1468),0.8518 (0.7633-0.9236)
