race,PRES16D,PRES16R,PRES16None
WVAP,0.0806 (0.0722-0.0883),0.3002 (0.2848-0.3117),0.6193 (0.6059-0.6355)
BVAP,0.0743 (0.0245-0.1438),0.0897 (0.0225-0.1866),0.836 (0.7221-0.925)
HVAP,0.2113 (0.0704-0.3841),0.3391 (0.115-0.6686),0.4496 (0.1518-0.7205)
OVAP,0.3978 (0.1309-0.6869),0.2388 (0.0621-0.4866),0.3634 (0.1131-0.6479)
