race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0347 (0.0298-0.0391),0.0007 (0.0003-0.0012),0.9646 (0.9601-0.9696)
OVAP,0.0603 (0.0219-0.1136),0.0138 (0.0062-0.0235),0.9258 (0.8702-0.9661)
