race,COMP14D,COMP14R,COMP14None
WVAP,0.1342 (0.124-0.1423),0.1645 (0.1549-0.1721),0.7013 (0.6898-0.7146)
OVAP,0.0787 (0.0261-0.1551),0.0626 (0.0173-0.1261),0.8587 (0.7638-0.9328)
