race,SEN18D,SEN18R,SEN18None
WVAP,0.1041 (0.0946-0.1119),0.203 (0.1915-0.2116),0.6929 (0.6809-0.7072)
OVAP,0.0844 (0.0294-0.1597),0.0674 (0.0183-0.1446),0.8481 (0.7475-0.9275)
