race,GOV14D,GOV14R,GOV14None
WVAP,0.0638 (0.0568-0.0699),0.2416 (0.2291-0.2509),0.6946 (0.6827-0.7086)
OVAP,0.0712 (0.0214-0.1377),0.0711 (0.0184-0.1472),0.8577 (0.7597-0.9348)
