,COUNTY,VAP,NAME,WVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
1335,Anne Arundel,2846,Anne Arundel Precinct 02-009,1587,526,642,1259,2846,1.0,0.5576247364722418,0.44237526352775824,1678,0.1848208011243851,0.22557976106816585,0.5895994378074491
1336,Anne Arundel,2844,Anne Arundel Precinct 02-007,2016,512,946,828,2844,1.0,0.7088607594936709,0.2911392405063291,1386,0.180028129395218,0.33263009845288327,0.4873417721518987
1337,Anne Arundel,2177,Anne Arundel Precinct 01-009,1913,241,882,264,2177,1.0,0.8787322002756086,0.12126779972439136,1054,0.11070280202112999,0.40514469453376206,0.48415250344510796
1338,Anne Arundel,2304,Anne Arundel Precinct 02-003,1599,291,737,705,2304,1.0,0.6940104166666666,0.3059895833333333,1276,0.12630208333333334,0.3198784722222222,0.5538194444444444
1339,Anne Arundel,3752,Anne Arundel Precinct 02-017,1881,566,441,1871,3752,1.0,0.5013326226012793,0.4986673773987207,2745,0.15085287846481876,0.11753731343283583,0.7316098081023454
1340,Anne Arundel,4380,Anne Arundel Precinct 02-014,1844,731,493,2536,4380,1.0,0.42100456621004567,0.5789954337899543,3156,0.16689497716894977,0.11255707762557078,0.7205479452054795
1341,Anne Arundel,1399,Anne Arundel Precinct 02-002,1086,278,632,313,1399,1.0,0.7762687634024303,0.2237312365975697,489,0.19871336669049322,0.4517512508934953,0.34953538241601145
1342,Anne Arundel,3009,Anne Arundel Precinct 02-005,1892,460,620,1117,3009,1.0,0.6287803256895979,0.37121967431040215,1929,0.1528747092057162,0.20604852110335659,0.6410767696909272
1343,Anne Arundel,2023,Anne Arundel Precinct 02-006,1608,249,579,415,2023,1.0,0.7948591201186357,0.2051408798813643,1195,0.12308452792881859,0.2862086010874938,0.5907068709836876
1344,Anne Arundel,2540,Anne Arundel Precinct 01-003,2035,248,798,505,2540,1.0,0.8011811023622047,0.19881889763779528,1494,0.09763779527559055,0.31417322834645667,0.5881889763779528
1345,Anne Arundel,1582,Anne Arundel Precinct 02-016,1282,173,536,300,1582,1.0,0.8103666245259166,0.18963337547408343,873,0.10935524652338811,0.3388116308470291,0.5518331226295828
1346,Anne Arundel,2689,Anne Arundel Precinct 02-008,2286,336,963,403,2689,1.0,0.8501301599107475,0.1498698400892525,1390,0.12495351431759018,0.35812569728523613,0.5169207883971737
1347,Anne Arundel,1929,Anne Arundel Precinct 04-014,1789,274,974,140,1929,1.0,0.9274235355106273,0.07257646448937273,681,0.14204250907205807,0.5049248315189218,0.35303265940902023
1348,Anne Arundel,1584,Anne Arundel Precinct 05-019,1501,245,868,83,1584,1.0,0.94760101010101,0.052398989898989896,471,0.15467171717171718,0.547979797979798,0.29734848484848486
1602,Anne Arundel,6637,Anne Arundel Precinct 04-007,3576,716,483,3061,6637,1.0,0.5387976495404551,0.461202350459545,5438,0.1078800662950128,0.07277384360403796,0.8193460901009493
1603,Anne Arundel,2138,Anne Arundel Precinct 04-019,624,715,287,1514,2138,1.0,0.29186155285313375,0.7081384471468662,1136,0.3344246959775491,0.1342376052385407,0.5313376987839102
1604,Anne Arundel,1672,Anne Arundel Precinct 04-011,1012,384,552,660,1672,1.0,0.6052631578947368,0.39473684210526316,736,0.22966507177033493,0.33014354066985646,0.44019138755980863
1605,Anne Arundel,1787,Anne Arundel Precinct 04-012,1244,330,587,543,1787,1.0,0.6961387800783436,0.30386121992165643,870,0.1846670397313934,0.3284834918858422,0.4868494683827644
1606,Anne Arundel,1872,Anne Arundel Precinct 04-003,1469,311,849,403,1872,1.0,0.7847222222222222,0.2152777777777778,712,0.16613247863247863,0.453525641025641,0.3803418803418803
1607,Anne Arundel,2203,Anne Arundel Precinct 04-002,1531,597,856,672,2203,1.0,0.6949614162505674,0.3050385837494326,750,0.27099409895596915,0.38856105310939626,0.3404448479346346
1608,Anne Arundel,3982,Anne Arundel Precinct 04-024,1617,884,516,2365,3982,1.0,0.40607734806629836,0.5939226519337016,2582,0.22199899547965846,0.12958312405826217,0.6484178804620794
1609,Anne Arundel,2792,Anne Arundel Precinct 04-018,453,1192,1054,2339,2792,1.0,0.16224928366762179,0.8377507163323782,546,0.4269340974212034,0.37750716332378226,0.19555873925501432
1610,Anne Arundel,2335,Anne Arundel Precinct 02-023,1669,480,1049,666,2335,1.0,0.7147751605995717,0.28522483940042825,806,0.20556745182012848,0.4492505353319058,0.34518201284796574
1611,Anne Arundel,2103,Anne Arundel Precinct 02-024,1550,355,753,553,2103,1.0,0.7370423204945317,0.2629576795054684,995,0.16880646695197338,0.35805991440798857,0.47313361864003806
1612,Anne Arundel,2435,Anne Arundel Precinct 01-020,1182,559,640,1253,2435,1.0,0.4854209445585216,0.5145790554414784,1236,0.2295687885010267,0.26283367556468173,0.5075975359342916
1613,Anne Arundel,2219,Anne Arundel Precinct 01-021,618,764,336,1601,2219,1.0,0.2785038305543037,0.7214961694456963,1119,0.34429923388913924,0.15141955835962145,0.5042812077512393
1614,Anne Arundel,2392,Anne Arundel Precinct 01-019,966,620,622,1426,2392,1.0,0.40384615384615385,0.5961538461538461,1150,0.2591973244147157,0.2600334448160535,0.4807692307692308
1615,Anne Arundel,1877,Anne Arundel Precinct 01-005,1116,385,577,761,1877,1.0,0.5945657964837506,0.4054342035162493,915,0.20511454448588173,0.30740543420351624,0.48748002131060203
1616,Anne Arundel,1391,Anne Arundel Precinct 01-024,699,359,406,692,1391,1.0,0.5025161754133717,0.4974838245866283,626,0.2580877066858375,0.2918763479511143,0.45003594536304814
1617,Anne Arundel,1706,Anne Arundel Precinct 02-001,1287,288,700,419,1706,1.0,0.7543962485345839,0.2456037514654162,718,0.16881594372801875,0.41031652989449,0.4208675263774912
1618,Anne Arundel,2031,Anne Arundel Precinct 01-006,1005,653,590,1026,2031,1.0,0.4948301329394387,0.5051698670605613,788,0.32151649433776464,0.29049729197439683,0.3879862136878385
1673,Anne Arundel,3177,Anne Arundel Precinct 04-017,1534,597,419,1643,3177,1.0,0.4828454516839786,0.5171545483160214,2161,0.18791312559017942,0.13188542650299023,0.6802014479068303
1674,Anne Arundel,2642,Anne Arundel Precinct 04-001,1022,679,443,1620,2642,1.0,0.38682816048448143,0.6131718395155186,1520,0.257002271006813,0.16767600302800909,0.5753217259651779
1677,Anne Arundel,2646,Anne Arundel Precinct 04-009,961,1187,655,1685,2646,1.0,0.36318972033257746,0.6368102796674225,804,0.4486016628873772,0.2475434618291761,0.30385487528344673
