,COUNTY,VAP,NAME,WVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
625,Anne Arundel,2039,Anne Arundel Precinct 05-004,1832,723,687,207,2039,1.0,0.8984796468857283,0.1015203531142717,629,0.3545855811672388,0.3369298675821481,0.308484551250613
626,Anne Arundel,1847,Anne Arundel Precinct 05-005,1625,662,592,222,1847,1.0,0.8798050893340552,0.12019491066594477,593,0.35841905793178125,0.32051976177585273,0.321061180292366
627,Anne Arundel,1366,Anne Arundel Precinct 05-023,1291,470,426,75,1366,1.0,0.945095168374817,0.05490483162518302,470,0.3440702781844802,0.3118594436310395,0.3440702781844802
628,Anne Arundel,1716,Anne Arundel Precinct 05-003,1503,621,701,213,1716,1.0,0.8758741258741258,0.12412587412587413,394,0.3618881118881119,0.4085081585081585,0.2296037296037296
629,Anne Arundel,2381,Anne Arundel Precinct 05-026,1899,1148,937,482,2381,1.0,0.7975640487190256,0.20243595128097439,296,0.48215035699286013,0.39353212935741283,0.124317513649727
630,Anne Arundel,2632,Anne Arundel Precinct 05-021,2196,932,924,436,2632,1.0,0.8343465045592705,0.1656534954407295,776,0.3541033434650456,0.35106382978723405,0.2948328267477204
631,Anne Arundel,1760,Anne Arundel Precinct 06-030,1534,723,509,226,1760,1.0,0.8715909090909091,0.12840909090909092,528,0.4107954545454545,0.28920454545454544,0.3
632,Anne Arundel,1526,Anne Arundel Precinct 06-025,1416,585,561,110,1526,1.0,0.927916120576671,0.07208387942332896,380,0.38335517693315857,0.3676277850589777,0.2490170380078637
633,Anne Arundel,1818,Anne Arundel Precinct 05-020,1541,633,597,277,1818,1.0,0.8476347634763476,0.15236523652365236,588,0.3481848184818482,0.32838283828382836,0.3234323432343234
634,Anne Arundel,1940,Anne Arundel Precinct 05-028,1748,322,302,192,1940,1.0,0.9010309278350516,0.09896907216494845,1316,0.16597938144329896,0.1556701030927835,0.6783505154639176
635,Anne Arundel,1531,Anne Arundel Precinct 05-027,1364,569,641,167,1531,1.0,0.8909209666884389,0.10907903331156107,321,0.37165251469627697,0.418680600914435,0.20966688438928804
636,Anne Arundel,1702,Anne Arundel Precinct 05-013,1627,614,749,75,1702,1.0,0.9559341950646298,0.04406580493537015,339,0.3607520564042303,0.4400705052878966,0.1991774383078731
637,Anne Arundel,2718,Anne Arundel Precinct 05-018,2265,755,634,453,2718,1.0,0.8333333333333334,0.16666666666666666,1329,0.2777777777777778,0.2332597498160412,0.488962472406181
638,Anne Arundel,2136,Anne Arundel Precinct 05-022,1936,785,759,200,2136,1.0,0.9063670411985019,0.09363295880149813,592,0.36750936329588013,0.3553370786516854,0.27715355805243447
639,Anne Arundel,2178,Anne Arundel Precinct 05-001,1856,783,944,322,2178,1.0,0.852157943067034,0.14784205693296604,451,0.359504132231405,0.43342516069788795,0.20707070707070707
640,Anne Arundel,2073,Anne Arundel Precinct 05-017,1891,838,788,182,2073,1.0,0.9122045344910757,0.08779546550892427,447,0.40424505547515677,0.3801254220935842,0.21562952243125905
641,Anne Arundel,2525,Anne Arundel Precinct 05-002,2062,908,749,463,2525,1.0,0.8166336633663366,0.18336633663366336,868,0.3596039603960396,0.2966336633663366,0.34376237623762373
654,Anne Arundel,1620,Anne Arundel Precinct 07-026,1426,548,565,194,1620,1.0,0.8802469135802469,0.11975308641975309,507,0.33827160493827163,0.3487654320987654,0.31296296296296294
655,Anne Arundel,2128,Anne Arundel Precinct 04-010,1684,230,169,444,2128,1.0,0.7913533834586466,0.20864661654135339,1729,0.1080827067669173,0.0794172932330827,0.8125
656,Anne Arundel,2733,Anne Arundel Precinct 04-016,2032,801,425,701,2733,1.0,0.743505305525064,0.25649469447493595,1507,0.29308452250274425,0.15550676911818515,0.5514087083790706
657,Anne Arundel,1530,Anne Arundel Precinct 07-014,1357,502,435,173,1530,1.0,0.8869281045751634,0.1130718954248366,593,0.3281045751633987,0.28431372549019607,0.38758169934640524
658,Anne Arundel,2243,Anne Arundel Precinct 07-016,1754,778,427,489,2243,1.0,0.7819884083816317,0.21801159161836825,1038,0.3468568880962996,0.1903700401248328,0.46277307177886756
659,Anne Arundel,1864,Anne Arundel Precinct 07-015,1650,583,535,214,1864,1.0,0.8851931330472103,0.1148068669527897,746,0.31276824034334766,0.28701716738197425,0.4002145922746781
660,Anne Arundel,2124,Anne Arundel Precinct 07-018,1735,625,500,389,2124,1.0,0.8168549905838042,0.18314500941619585,999,0.294256120527307,0.23540489642184556,0.4703389830508475
661,Anne Arundel,3122,Anne Arundel Precinct 04-023,2305,1093,751,817,3122,1.0,0.7383087764253684,0.26169122357463165,1278,0.35009609224855864,0.24055092889173607,0.40935297885970534
662,Anne Arundel,2399,Anne Arundel Precinct 04-022,1498,736,341,901,2399,1.0,0.6244268445185494,0.3755731554814506,1322,0.3067944977073781,0.1421425593997499,0.551062942892872
663,Anne Arundel,1929,Anne Arundel Precinct 04-008,1617,596,625,312,1929,1.0,0.838258164852255,0.16174183514774496,708,0.30896837739761535,0.3240020736132711,0.36702954898911355
664,Anne Arundel,2249,Anne Arundel Precinct 07-008,1808,580,712,441,2249,1.0,0.8039128501556247,0.19608714984437528,957,0.25789239662072033,0.31658514895509116,0.4255224544241885
665,Anne Arundel,2263,Anne Arundel Precinct 07-007,2076,584,837,187,2263,1.0,0.9173663278833407,0.0826336721166593,842,0.25806451612903225,0.3698630136986301,0.37207247017233763
666,Anne Arundel,1835,Anne Arundel Precinct 07-004,1530,452,614,305,1835,1.0,0.8337874659400545,0.16621253405994552,769,0.24632152588555858,0.3346049046321526,0.41907356948228885
667,Anne Arundel,2323,Anne Arundel Precinct 07-011,1990,162,322,333,2323,1.0,0.8566508824795523,0.14334911752044768,1839,0.06973740852346104,0.13861386138613863,0.7916487300904004
668,Anne Arundel,1543,Anne Arundel Precinct 07-027,1253,693,849,290,1543,1.2817955112219452,0.8120544394037589,0.1879455605962411,1,0.4491250810110175,0.5502268308489955,0.0006480881399870382
669,Anne Arundel,2006,Anne Arundel Precinct 07-013,1841,574,797,165,2006,1.0,0.9177467597208375,0.08225324027916252,635,0.28614157527417744,0.39730807577268196,0.3165503489531406
670,Anne Arundel,2140,Anne Arundel Precinct 07-022,1966,566,806,174,2140,1.0,0.9186915887850468,0.08130841121495327,768,0.2644859813084112,0.3766355140186916,0.35887850467289717
671,Anne Arundel,2009,Anne Arundel Precinct 07-017,1700,377,340,309,2009,1.0,0.8461921353907417,0.15380786460925833,1292,0.187655550024888,0.16923842707814835,0.6431060228969636
672,Anne Arundel,1853,Anne Arundel Precinct 07-020,1435,591,337,418,1853,1.0,0.7744198596869941,0.22558014031300594,925,0.3189422558014031,0.18186724230976795,0.4991905018888289
673,Anne Arundel,2151,Anne Arundel Precinct 07-024,1764,676,643,387,2151,1.0,0.8200836820083682,0.1799163179916318,832,0.31427243142724315,0.298930729893073,0.38679683867968384
674,Anne Arundel,2719,Anne Arundel Precinct 04-021,1999,1008,749,720,2719,1.0,0.7351967635159985,0.26480323648400145,962,0.37072453107760206,0.2754689223979404,0.35380654652445753
675,Anne Arundel,1631,Anne Arundel Precinct 06-028,1259,465,558,372,1631,1.0,0.7719190680564071,0.22808093194359289,608,0.2851011649294911,0.3421213979153893,0.3727774371551196
676,Anne Arundel,2014,Anne Arundel Precinct 04-004,1753,615,846,261,2014,1.0,0.8704071499503475,0.12959285004965243,553,0.30536246276067525,0.4200595829195631,0.2745779543197617
677,Anne Arundel,1699,Anne Arundel Precinct 07-023,1518,678,860,181,1699,1.0,0.8934667451442024,0.10653325485579752,161,0.39905826957033547,0.5061801059446733,0.09476162448499117
678,Anne Arundel,2203,Anne Arundel Precinct 07-012,2057,405,475,146,2203,1.0,0.9337267362687245,0.06627326373127554,1323,0.18384021788470267,0.21561507035860192,0.6005447117566954
679,Anne Arundel,1374,Anne Arundel Precinct 06-020,1317,507,442,57,1374,1.0,0.9585152838427947,0.04148471615720524,425,0.36899563318777295,0.32168850072780203,0.309315866084425
680,Anne Arundel,2873,Anne Arundel Precinct 07-005,2447,846,849,426,2873,1.0,0.8517229376957883,0.14827706230421162,1178,0.29446571528019494,0.2955099199443091,0.410024364775496
681,Anne Arundel,2103,Anne Arundel Precinct 06-019,1955,751,731,148,2103,1.0,0.9296243461721351,0.07037565382786495,621,0.3571088920589634,0.34759866856871136,0.29529243937232524
682,Anne Arundel,1864,Anne Arundel Precinct 06-026,1752,847,884,112,1864,1.0,0.9399141630901288,0.060085836909871244,133,0.4543991416309013,0.4742489270386266,0.0713519313304721
683,Anne Arundel,1098,Anne Arundel Precinct 06-027,991,282,451,107,1098,1.0,0.9025500910746812,0.09744990892531877,365,0.2568306010928962,0.4107468123861566,0.3324225865209472
684,Anne Arundel,2583,Anne Arundel Precinct 04-015,2338,869,973,245,2583,1.0,0.9051490514905149,0.0948509485094851,741,0.33643050716221445,0.37669376693766937,0.2868757259001161
685,Anne Arundel,3191,Anne Arundel Precinct 06-021,2803,622,698,388,3191,1.0,0.8784080225634597,0.12159197743654027,1871,0.1949232215606393,0.2187402068317142,0.5863365716076465
686,Anne Arundel,1255,Anne Arundel Precinct 06-031,1182,437,564,73,1255,1.0,0.9418326693227091,0.05816733067729084,254,0.34820717131474105,0.44940239043824703,0.20239043824701194
687,Anne Arundel,3699,Anne Arundel Precinct 04-006,1002,1738,187,2697,3699,1.0,0.2708840227088402,0.7291159772911597,1774,0.4698567180319005,0.05055420383887537,0.47958907812922413
692,Anne Arundel,5212,Anne Arundel Precinct 01-023,1471,630,177,3741,5212,1.0,0.28223330775134303,0.717766692248657,4405,0.12087490406753645,0.033960092095165005,0.8451650038372985
693,Anne Arundel,5070,Anne Arundel Precinct 01-022,3022,2095,1004,2048,5070,1.0,0.5960552268244576,0.4039447731755424,1971,0.41321499013806706,0.1980276134122288,0.38875739644970414
