,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
463,Charles,1743,Charles Precinct 06-017,855,725,64,354,167,99,1743,1,0.4905335628227194,0.4159495123350545,0.03671830177854274,0.05679862306368331,1222,0.20309810671256454,0.09581181870338497,0.7010900745840505
464,Charles,2599,Charles Precinct 06-022,659,1546,211,451,105,183,2599,1,0.2535590611773759,0.5948441708349365,0.08118507118122355,0.07041169680646403,2043,0.17352828010773375,0.040400153905348214,0.7860715659869181
465,Charles,1568,Charles Precinct 06-012,649,712,110,348,133,97,1568,1,0.4139030612244898,0.45408163265306123,0.07015306122448979,0.06186224489795918,1087,0.22193877551020408,0.08482142857142858,0.6932397959183674
466,Charles,2347,Charles Precinct 08-004,1718,432,78,483,524,119,2347,1,0.731998295696634,0.18406476352790796,0.033233915636983385,0.05070302513847465,1340,0.2057946314443971,0.22326374094588836,0.5709416276097146
467,Charles,1345,Charles Precinct 08-005,1032,252,23,43,115,38,1345,1,0.7672862453531598,0.18736059479553904,0.017100371747211896,0.02825278810408922,1187,0.03197026022304833,0.08550185873605948,0.8825278810408922
468,Charles,2167,Charles Precinct 08-003,1317,664,85,451,304,101,2167,1,0.6077526534379326,0.30641439778495616,0.03922473465620674,0.046608214120904476,1412,0.20812182741116753,0.14028610982925704,0.6515920627595755
469,Charles,2164,Charles Precinct 08-002,1349,637,71,479,413,107,2164,1,0.6233826247689463,0.294362292051756,0.032809611829944546,0.04944547134935305,1272,0.22134935304990758,0.19085027726432532,0.5878003696857671
720,Charles,3857,Charles Precinct 01-001,2541,1001,121,589,524,194,3857,1,0.6588021778584392,0.2595281306715064,0.031371532278973296,0.05029815919108115,2744,0.15270935960591134,0.13585688358828105,0.7114337568058077
721,Charles,3570,Charles Precinct 06-002,2072,1190,126,758,561,182,3570,1,0.5803921568627451,0.3333333333333333,0.03529411764705882,0.050980392156862744,2251,0.2123249299719888,0.15714285714285714,0.630532212885154
722,Charles,1581,Charles Precinct 06-003,476,903,56,585,152,146,1581,1,0.3010752688172043,0.571157495256167,0.03542061986084757,0.09234661606578115,844,0.3700189753320683,0.0961416824794434,0.5338393421884883
723,Charles,1855,Charles Precinct 06-019,983,623,81,495,319,168,1855,1,0.5299191374663073,0.33584905660377357,0.04366576819407008,0.09056603773584905,1041,0.2668463611859838,0.17196765498652292,0.5611859838274933
724,Charles,2458,Charles Precinct 06-004,796,1368,116,833,189,178,2458,1,0.32384052074857606,0.5565500406834825,0.047192839707078924,0.07241659886086249,1436,0.338893409275834,0.07689178193653377,0.5842148087876322
725,Charles,1494,Charles Precinct 06-020,801,526,71,315,189,96,1494,1,0.536144578313253,0.35207496653279785,0.04752342704149933,0.0642570281124498,990,0.21084337349397592,0.12650602409638553,0.6626506024096386
726,Charles,1968,Charles Precinct 06-010,596,1107,94,921,235,171,1968,1,0.30284552845528456,0.5625,0.047764227642276426,0.08689024390243902,812,0.4679878048780488,0.11941056910569106,0.41260162601626016
727,Charles,1478,Charles Precinct 06-021,501,788,72,401,144,117,1478,1,0.33897158322056836,0.5331529093369418,0.04871447902571042,0.07916102841677942,933,0.2713125845737483,0.09742895805142084,0.6312584573748309
728,Charles,3773,Charles Precinct 06-013,1407,1870,157,869,386,339,3773,1,0.37291280148423006,0.4956268221574344,0.04161144977471508,0.08984892658362047,2518,0.2303206997084548,0.10230585740789823,0.667373442883647
