race,PRES12D,PRES12R,PRES12None
WVAP,0.2419 (0.199-0.2949),0.3722 (0.3494-0.3902),0.3859 (0.3477-0.4161)
OVAP,0.3246 (0.2117-0.4435),0.2299 (0.1571-0.3423),0.4455 (0.3362-0.5764)
