race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.1838 (0.1718-0.1949),0.8162 (0.8051-0.8282),0.5666 (0.5582-0.5759)
OVAP,0.5317 (0.2035-0.8442),0.4683 (0.1558-0.7965),0.6571 (0.3566-0.8886)
