race,AG18D,AG18R,AG18Turnout
WVAP,0.2118 (0.1971-0.2257),0.7882 (0.7743-0.8029),0.456 (0.4474-0.4645)
OVAP,0.5488 (0.2295-0.8635),0.4512 (0.1365-0.7705),0.6614 (0.385-0.9125)
