race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.3711 (0.3595-0.3827),0.6289 (0.6173-0.6405),0.4428 (0.4358-0.4501)
BVAP,0.4955 (0.1887-0.8126),0.5045 (0.1874-0.8113),0.6765 (0.4103-0.9057)
HVAP,0.5017 (0.1908-0.8158),0.4983 (0.1842-0.8092),0.6677 (0.3894-0.8903)
OVAP,0.4936 (0.1841-0.8065),0.5064 (0.1935-0.8159),0.6563 (0.3984-0.8847)
