race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.5599 (0.4375-0.6857),0.1791 (0.0911-0.2808),0.261 (0.1355-0.3968),0.0201 (0.0165-0.0243)
OVAP,0.272 (0.1106-0.4516),0.2838 (0.1293-0.4426),0.4443 (0.2357-0.6226),0.6563 (0.4765-0.8077)
