race,AG14D,AG14R,AG14Turnout
WVAP,0.2158 (0.2031-0.2283),0.7842 (0.7717-0.7969),0.3427 (0.3356-0.3497)
BVAP,0.4931 (0.1699-0.8151),0.5069 (0.1849-0.8301),0.6704 (0.4004-0.8891)
HVAP,0.4946 (0.1563-0.8316),0.5054 (0.1684-0.8437),0.6656 (0.3723-0.9036)
OVAP,0.497 (0.175-0.8042),0.503 (0.1958-0.825),0.6694 (0.4047-0.9037)
