race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.2572 (0.2427-0.2709),0.7428 (0.7291-0.7573),0.4479 (0.4393-0.4571)
OVAP,0.5212 (0.1914-0.8137),0.4788 (0.1863-0.8086),0.6574 (0.3877-0.8838)
