race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.2014 (0.1888-0.2132),0.7986 (0.7868-0.8112),0.5476 (0.5397-0.5563)
OVAP,0.5 (0.173-0.8307),0.5 (0.1693-0.827),0.6563 (0.3846-0.8751)
