race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9798 (0.9566-0.9956),0.0202 (0.0044-0.0434),0.019 (0.0148-0.0236)
OVAP,0.9074 (0.8078-0.9648),0.0926 (0.0352-0.1922),0.4185 (0.2143-0.6312)
