race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.5563 (0.4349-0.6709),0.0719 (0.0252-0.1354),0.1718 (0.0919-0.2624),0.0672 (0.0231-0.1275),0.1327 (0.0602-0.2178),0.0167 (0.0136-0.0203)
OVAP,0.3314 (0.1787-0.4732),0.1301 (0.059-0.2028),0.1814 (0.0859-0.2855),0.119 (0.0515-0.1897),0.2381 (0.1457-0.3444),0.6863 (0.539-0.8129)
