race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.2361 (0.2238-0.2481),0.7639 (0.7519-0.7762),0.5455 (0.5375-0.5543)
OVAP,0.4966 (0.1738-0.8159),0.5034 (0.1841-0.8262),0.6706 (0.4142-0.8883)
