race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.5133 (0.4177-0.6162),0.4867 (0.3838-0.5823),0.0376 (0.0326-0.0436)
OVAP,0.5314 (0.2731-0.7683),0.4686 (0.2317-0.7269),0.7094 (0.4586-0.9008)
