race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.1696 (0.1526-0.1851),0.8304 (0.8149-0.8474),0.3753 (0.367-0.3841)
OVAP,0.5143 (0.1766-0.8379),0.4857 (0.1621-0.8234),0.6689 (0.3767-0.9001)
