race,AG14D,AG14R,AG14Turnout
WVAP,0.215 (0.1973-0.2323),0.785 (0.7677-0.8027),0.3427 (0.3343-0.3513)
OVAP,0.5106 (0.1908-0.818),0.4894 (0.182-0.8092),0.6711 (0.4022-0.8986)
