race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.116 (0.1011-0.1285),0.884 (0.8715-0.8989),0.4587 (0.4504-0.4674)
OVAP,0.5204 (0.2124-0.8203),0.4796 (0.1797-0.7876),0.67 (0.3938-0.8996)
