race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.2881 (0.274-0.3016),0.7119 (0.6984-0.726),0.4955 (0.4869-0.5043)
OVAP,0.5088 (0.164-0.828),0.4912 (0.172-0.836),0.6679 (0.3658-0.8899)
