race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.3055 (0.2928-0.3185),0.6945 (0.6815-0.7072),0.3717 (0.3651-0.3787)
BVAP,0.4962 (0.1641-0.83),0.5038 (0.17-0.8359),0.6625 (0.3924-0.8957)
HVAP,0.4978 (0.1818-0.8179),0.5022 (0.1821-0.8182),0.6517 (0.3487-0.8802)
OVAP,0.4977 (0.153-0.8191),0.5023 (0.1809-0.847),0.6691 (0.3969-0.887)
