race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.3971 (0.2851-0.505),0.0902 (0.0336-0.1561),0.5127 (0.3919-0.6288),0.0236 (0.0197-0.0283)
OVAP,0.3455 (0.169-0.5502),0.2309 (0.1082-0.361),0.4236 (0.2129-0.6323),0.6387 (0.4511-0.8013)
