race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.3699 (0.3547-0.3844),0.6301 (0.6156-0.6453),0.4426 (0.434-0.4515)
OVAP,0.5222 (0.2005-0.8128),0.4778 (0.1872-0.7995),0.6734 (0.3815-0.8996)
