race,AG18D,AG18R,AG18None
WVAP,0.6112 (0.5842-0.6371),0.2013 (0.1918-0.2087),0.1875 (0.1625-0.2134)
OVAP,0.2402 (0.2093-0.2724),0.0279 (0.0182-0.0401),0.7319 (0.6992-0.7618)
