race,COMP18D,COMP18R,COMP18None
WVAP,0.6168 (0.5887-0.6412),0.1892 (0.1808-0.1963),0.194 (0.17-0.2217)
OVAP,0.2429 (0.2124-0.2783),0.0274 (0.0177-0.0387),0.7296 (0.6941-0.7601)
