race,SEN18D,SEN18R,SEN18None
WVAP,0.6083 (0.5781-0.6365),0.172 (0.1637-0.1792),0.2197 (0.1928-0.2493)
OVAP,0.2414 (0.2083-0.2774),0.0255 (0.0163-0.0367),0.7331 (0.6977-0.7655)
