race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0777 (0.0705-0.0845),0.0605 (0.0572-0.0631),0.0414 (0.0369-0.0454),0.8204 (0.8121-0.8294)
OVAP,0.0336 (0.0263-0.0421),0.0063 (0.0037-0.0099),0.011 (0.0066-0.0159),0.9491 (0.9388-0.9581)
