race,AG14D,AG14R,AG14None
WVAP,0.3725 (0.3458-0.3953),0.1793 (0.1719-0.1852),0.4482 (0.4247-0.4741)
OVAP,0.1029 (0.0795-0.13),0.0186 (0.0116-0.0276),0.8785 (0.8519-0.9024)
