race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.082 (0.0761-0.0884),0.0038 (0.0028-0.0054),0.0133 (0.0104-0.0166),0.0375 (0.0345-0.0403),0.0852 (0.0797-0.0904),0.7782 (0.7695-0.7865)
BVAP,0.0817 (0.0619-0.102),0.005 (0.003-0.0076),0.0081 (0.0045-0.0137),0.012 (0.0063-0.0193),0.0418 (0.0285-0.057),0.8514 (0.827-0.8745)
HVAP,0.0156 (0.0063-0.0272),0.0039 (0.0021-0.0063),0.0068 (0.0031-0.0124),0.0091 (0.0043-0.0167),0.0081 (0.0037-0.0156),0.9565 (0.94-0.972)
OVAP,0.0115 (0.0038-0.0249),0.0122 (0.0068-0.0164),0.0204 (0.0072-0.0303),0.0068 (0.0032-0.0129),0.0089 (0.0033-0.0181),0.9402 (0.9213-0.9594)
