race,GOV14D,GOV14R,GOV14None
WVAP,0.3396 (0.3149-0.3632),0.2257 (0.2174-0.2326),0.4347 (0.4117-0.459)
OVAP,0.1063 (0.083-0.1305),0.0202 (0.012-0.0303),0.8736 (0.8486-0.897)
