race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.1341 (0.127-0.141),0.0041 (0.0024-0.0062),0.0245 (0.02-0.0293),0.8373 (0.8295-0.8454)
BVAP,0.0308 (0.0165-0.046),0.0279 (0.0171-0.0388),0.0296 (0.0147-0.0437),0.9117 (0.8896-0.9328)
HVAP,0.0104 (0.0041-0.0202),0.0145 (0.0064-0.0241),0.016 (0.0081-0.0268),0.9592 (0.9432-0.9732)
OVAP,0.0097 (0.0039-0.0198),0.0224 (0.0141-0.0316),0.0219 (0.0086-0.0374),0.946 (0.9266-0.9648)
