race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0743 (0.0676-0.0811),0.0083 (0.0076-0.009),0.0213 (0.0194-0.0229),0.0405 (0.0371-0.0434),0.0853 (0.0796-0.091),0.7702 (0.7614-0.7796)
OVAP,0.046 (0.0381-0.0544),0.0019 (0.0013-0.0028),0.0038 (0.0023-0.0057),0.0069 (0.0041-0.0107),0.0209 (0.0149-0.0268),0.9205 (0.9097-0.9305)
